array,queries,results
67 13 48 29 93 50 93 25 44 40,8-8 | 7-7 | 8-8 | 8-9 | 2-5 | 3-9 | 0-3 | 0-9 | 0-9 | 9-9 | 7-8 | 3-7 | 4-9 | 8-8 | 3-9,44 25 44 40 29 25 13 13 13 40 25 25 25 44 25
74 90 2 81 39 77 21 42 23 77,0-2 | 1-3 | 2-4 | 9-9 | 9-9 | 2-7 | 3-9 | 3-7 | 5-7 | 4-8 | 1-6 | 5-6 | 1-1 | 3-9 | 4-4,2 2 2 77 77 2 21 21 21 21 2 21 90 21 39
3 71 62 100 29 78 80 28 31 41,3-7 | 4-9 | 3-6 | 2-7 | 5-8 | 0-8 | 9-9 | 4-9 | 0-6 | 4-5 | 3-7 | 6-6 | 3-4 | 4-5 | 8-8,28 28 29 28 28 3 41 28 3 29 28 80 29 29 31
66 48 82 11 7 4 78 11 34 51,3-8 | 4-6 | 8-8 | 0-8 | 8-9 | 3-5 | 7-8 | 0-0 | 7-7 | 5-6 | 4-6 | 1-2 | 1-5 | 2-3 | 9-9,4 4 34 4 34 4 11 66 11 4 4 48 4 11 51
1 87 13 40 72 5 12 92 7 71,2-2 | 1-5 | 1-5 | 0-2 | 1-3 | 7-7 | 0-7 | 9-9 | 3-6 | 7-8 | 7-7 | 4-8 | 6-6 | 0-8 | 0-2,13 5 5 1 13 92 1 71 5 7 92 5 12 1 1
37 69 5 14 79 49 39 81 39 38,9-9 | 4-7 | 1-5 | 8-8 | 4-9 | 9-9 | 2-4 | 6-9 | 6-8 | 0-1 | 5-7 | 3-6 | 4-5 | 6-8 | 6-6,38 39 5 39 38 38 5 38 39 37 39 14 49 39 39
18 37 41 83 54 49 1 27 15 81,8-9 | 8-9 | 8-9 | 2-5 | 6-7 | 3-3 | 4-8 | 9-9 | 3-9 | 7-8 | 0-5 | 4-7 | 7-8 | 0-8 | 7-7,15 15 15 41 1 83 1 81 1 15 18 1 15 1 27
93 77 64 33 69 21 72 91 87 27,3-8 | 1-8 | 9-9 | 3-6 | 8-8 | 3-6 | 5-6 | 1-5 | 0-7 | 9-9 | 5-5 | 4-9 | 9-9 | 5-7 | 1-8,21 21 27 21 87 21 21 21 21 27 21 21 27 21 21
70 86 45 82 84 95 74 95 82 85,5-5 | 6-9 | 4-9 | 1-1 | 0-2 | 0-0 | 4-4 | 4-9 | 6-7 | 3-7 | 4-5 | 7-9 | 2-7 | 3-9 | 9-9,95 74 74 86 45 70 84 74 74 74 84 82 45 74 85
62 15 77 25 70 67 90 57 13 12,6-6 | 9-9 | 8-8 | 9-9 | 1-2 | 5-9 | 4-9 | 7-9 | 7-9 | 6-7 | 4-6 | 6-6 | 1-3 | 9-9 | 8-8,90 12 13 12 15 12 12 12 12 57 67 90 15 12 13
34 31 72 98 99 80 8 37 67 16,7-9 | 9-9 | 6-9 | 3-4 | 3-5 | 6-9 | 1-6 | 5-7 | 2-8 | 7-8 | 9-9 | 8-9 | 9-9 | 9-9 | 6-7,16 16 8 98 80 8 8 8 8 37 16 16 16 16 8
13 20 5 42 73 61 79 62 41 64,8-8 | 3-5 | 9-9 | 0-1 | 5-6 | 7-9 | 1-7 | 5-9 | 4-7 | 2-2 | 5-7 | 6-6 | 4-5 | 2-3 | 5-8,41 42 64 13 61 41 5 41 61 5 61 79 61 5 41
17 60 19 68 99 21 11 98 16 41,2-9 | 6-8 | 6-7 | 5-7 | 1-3 | 1-8 | 5-6 | 0-7 | 0-4 | 0-1 | 8-9 | 9-9 | 6-8 | 5-9 | 4-7,11 11 11 11 19 11 11 11 17 17 16 41 11 11 11
81 7 62 34 42 27 46 21 47 63,3-9 | 5-8 | 0-7 | 9-9 | 0-5 | 7-9 | 0-8 | 0-4 | 0-0 | 5-5 | 3-9 | 1-2 | 3-4 | 5-9 | 0-9,21 21 7 63 7 21 7 7 81 27 21 7 34 21 7
92 28 50 18 36 47 66 82 76 50,5-6 | 5-9 | 4-8 | 8-8 | 1-7 | 3-3 | 8-8 | 6-8 | 4-4 | 5-5 | 7-8 | 0-1 | 7-9 | 0-4 | 8-9,47 47 36 76 18 18 76 66 36 47 76 28 50 18 50
16 84 60 9 57 16 6 32 8 76,0-8 | 8-9 | 3-7 | 3-3 | 2-4 | 7-9 | 4-8 | 8-8 | 6-9 | 1-1 | 9-9 | 9-9 | 8-8 | 2-2 | 6-7,6 8 6 9 9 8 6 8 6 84 76 76 8 60 6
34 85 60 8 23 33 69 74 95 63,6-8 | 9-9 | 1-7 | 1-6 | 5-9 | 0-5 | 8-8 | 0-0 | 1-4 | 8-8 | 3-9 | 8-8 | 3-9 | 8-8 | 2-6,69 63 8 8 33 8 95 34 8 95 8 95 8 95 8
21 95 3 26 20 88 63 2 59 42,3-7 | 2-8 | 8-9 | 9-9 | 4-7 | 9-9 | 7-9 | 5-6 | 1-1 | 7-9 | 9-9 | 0-2 | 3-5 | 2-9 | 3-8,2 2 42 42 2 42 2 63 95 2 42 3 20 2 2
1 37 85 12 39 63 73 68 38 23,7-8 | 8-8 | 9-9 | 1-5 | 6-8 | 8-8 | 5-7 | 0-0 | 7-9 | 2-9 | 9-9 | 4-6 | 8-8 | 1-5 | 7-8,38 38 23 12 38 38 63 1 23 12 23 39 38 12 38
62 28 88 57 47 33 5 55 48 2,6-8 | 1-7 | 4-5 | 4-6 | 2-2 | 8-9 | 2-9 | 6-9 | 1-8 | 2-2 | 2-3 | 3-5 | 3-7 | 5-8 | 2-7,5 5 33 5 88 2 2 2 5 88 57 33 5 5 5
20 86 10 63 40 17 24 29 68 9,1-2 | 4-5 | 5-6 | 4-8 | 0-5 | 2-6 | 9-9 | 1-1 | 8-8 | 4-4 | 1-7 | 5-6 | 4-8 | 2-6 | 2-8,10 17 17 17 10 10 9 86 68 40 10 17 17 10 10
53 98 22 75 48 8 5 55 4 71,6-6 | 1-9 | 8-9 | 9-9 | 0-1 | 9-9 | 6-9 | 1-8 | 8-8 | 0-7 | 1-7 | 2-4 | 9-9 | 8-8 | 9-9,5 4 4 71 53 71 4 4 4 5 5 22 71 4 71
86 31 53 32 42 36 89 14 98 49,6-8 | 5-6 | 9-9 | 3-8 | 3-4 | 7-7 | 4-7 | 8-8 | 3-5 | 9-9 | 4-5 | 3-6 | 2-3 | 6-7 | 9-9,14 36 49 14 32 14 14 98 32 49 36 32 32 14 49
97 78 33 33 57 58 13 56 100 100,4-8 | 9-9 | 2-5 | 9-9 | 0-6 | 0-8 | 0-6 | 8-9 | 6-9 | 2-9 | 9-9 | 6-6 | 4-5 | 9-9 | 2-5,13 100 33 100 13 13 13 100 13 13 100 13 57 100 33
78 24 77 87 20 40 35 61 55 85,5-5 | 1-6 | 9-9 | 6-8 | 3-6 | 9-9 | 5-7 | 9-9 | 7-9 | 1-7 | 6-7 | 6-6 | 5-5 | 7-9 | 6-8,40 20 85 35 20 85 35 85 55 20 35 35 40 55 35
30 14 48 20 4 51 14 95 32 10,7-9 | 1-2 | 2-2 | 5-5 | 8-8 | 2-9 | 2-3 | 5-7 | 7-9 | 8-8 | 8-8 | 1-5 | 5-8 | 6-7 | 5-6,10 14 48 51 32 4 20 14 10 32 32 4 14 14 14
16 96 40 14 44 19 78 8 33 54,5-6 | 1-6 | 8-8 | 8-8 | 5-9 | 5-9 | 7-7 | 6-8 | 9-9 | 8-8 | 3-9 | 8-8 | 7-7 | 4-7 | 6-9,19 14 33 33 8 8 8 8 54 33 8 33 8 8 8
72 33 70 100 76 78 81 59 68 27,2-4 | 1-1 | 3-3 | 7-9 | 8-8 | 3-9 | 4-5 | 2-5 | 1-4 | 6-9 | 1-6 | 3-8 | 2-8 | 5-9 | 1-9,70 33 100 27 68 27 76 70 33 27 33 59 59 27 27
97 44 30 15 27 61 12 6 9 63,5-5 | 0-5 | 8-8 | 0-3 | 3-9 | 0-0 | 7-9 | 4-6 | 0-5 | 0-6 | 3-4 | 3-6 | 8-8 | 7-7 | 6-7,61 15 9 15 6 97 6 12 15 12 15 12 9 6 6
61 96 51 9 20 49 86 29 23 23,8-9 | 2-8 | 7-7 | 9-9 | 6-7 | 8-9 | 6-7 | 9-9 | 4-4 | 3-3 | 9-9 | 6-6 | 5-5 | 1-2 | 9-9,23 9 29 23 29 23 29 23 20 9 23 86 49 51 23
47 81 90 32 54 52 83 58 95 77,2-3 | 8-8 | 1-3 | 6-6 | 2-2 | 5-9 | 1-3 | 5-7 | 1-6 | 4-9 | 9-9 | 5-6 | 7-9 | 5-8 | 9-9,32 95 32 83 90 52 32 52 32 52 77 52 58 52 77
59 62 82 97 8 21 70 21 32 36,5-6 | 9-9 | 3-8 | 3-3 | 2-3 | 5-9 | 2-6 | 9-9 | 1-9 | 6-9 | 0-7 | 0-5 | 4-6 | 8-8 | 4-9,21 36 8 97 82 21 8 36 8 21 8 8 8 32 8
68 79 21 21 35 32 27 57 42 66,8-9 | 6-8 | 1-3 | 3-6 | 5-8 | 7-8 | 8-9 | 5-8 | 1-3 | 8-8 | 9-9 | 0-0 | 6-9 | 4-4 | 7-7,42 27 21 21 27 42 42 27 21 42 66 68 27 35 57
6 10 21 3 59 67 77 71 20 95,3-3 | 7-7 | 8-9 | 7-9 | 2-8 | 8-9 | 8-9 | 7-9 | 9-9 | 3-3 | 0-6 | 7-9 | 6-6 | 9-9 | 8-9,3 71 20 20 3 20 20 20 95 3 3 20 77 95 20
95 92 33 28 12 55 36 84 95 32,3-7 | 8-8 | 9-9 | 4-5 | 5-6 | 4-5 | 1-1 | 1-4 | 0-9 | 6-6 | 5-8 | 2-6 | 2-5 | 6-7 | 8-8,12 95 32 12 36 12 92 12 12 36 36 12 12 36 95
71 24 60 71 44 68 84 68 64 51,3-8 | 5-7 | 9-9 | 6-9 | 2-8 | 3-4 | 3-4 | 1-8 | 2-8 | 9-9 | 1-3 | 9-9 | 8-9 | 5-7 | 6-9,44 68 51 51 44 44 44 24 44 51 24 51 51 68 51
28 31 32 60 70 72 98 56 64 2,7-9 | 9-9 | 4-7 | 8-9 | 8-8 | 1-4 | 6-8 | 0-4 | 6-8 | 9-9 | 7-9 | 8-8 | 5-7 | 9-9 | 0-8,2 2 56 2 64 31 56 28 56 2 2 64 56 2 28
86 29 46 1 89 80 28 68 82 80,1-3 | 7-9 | 8-8 | 0-2 | 0-2 | 2-6 | 2-9 | 2-3 | 7-8 | 9-9 | 1-4 | 5-6 | 5-9 | 5-6 | 7-8,1 68 82 29 29 1 1 1 68 80 1 28 28 28 68
84 6 5 38 78 91 73 65 54 80,7-9 | 7-9 | 4-7 | 9-9 | 3-6 | 7-7 | 5-9 | 9-9 | 6-8 | 6-7 | 9-9 | 0-2 | 1-1 | 8-9 | 0-0,54 54 65 80 38 65 54 80 54 65 80 5 6 54 84
84 20 16 65 92 13 95 93 24 6,7-7 | 0-9 | 3-7 | 8-8 | 4-6 | 7-7 | 1-8 | 8-9 | 8-8 | 4-6 | 5-9 | 2-3 | 1-6 | 0-0 | 5-5,93 6 13 24 13 93 13 6 24 13 6 16 13 84 13
86 86 17 81 93 35 65 65 18 35,9-9 | 5-9 | 6-8 | 2-4 | 2-2 | 1-7 | 2-6 | 4-4 | 0-9 | 3-5 | 3-6 | 0-8 | 1-8 | 1-7 | 6-9,35 18 18 17 17 17 17 93 17 35 35 17 17 17 18
21 95 27 98 85 20 49 59 97 94,3-9 | 3-3 | 4-7 | 5-7 | 8-9 | 7-9 | 9-9 | 0-5 | 4-4 | 1-1 | 7-8 | 5-5 | 8-9 | 1-5 | 5-7,20 98 20 20 94 59 94 20 85 95 59 20 94 20 20
44 25 13 62 99 25 78 50 44 95,3-6 | 8-8 | 5-5 | 3-9 | 2-6 | 8-8 | 0-1 | 5-9 | 3-9 | 3-3 | 9-9 | 9-9 | 9-9 | 2-7 | 0-5,25 44 25 25 13 44 25 25 25 62 95 95 95 13 13
31 10 47 36 6 29 2 46 9 5,6-9 | 7-9 | 7-8 | 9-9 | 0-8 | 0-4 | 4-6 | 9-9 | 1-4 | 2-8 | 0-0 | 6-7 | 3-6 | 2-4 | 3-9,2 5 9 5 2 6 2 5 6 2 31 2 2 6 2
90 73 67 33 29 15 79 75 29 29,6-8 | 5-6 | 7-9 | 1-2 | 9-9 | 5-7 | 4-7 | 8-9 | 8-8 | 6-6 | 1-6 | 2-4 | 5-8 | 9-9 | 9-9,29 15 29 67 29 15 15 29 29 79 15 29 15 29 29
87 62 86 36 33 51 79 83 71 2,4-6 | 4-4 | 9-9 | 0-8 | 8-9 | 4-6 | 0-1 | 9-9 | 0-0 | 8-9 | 6-7 | 6-7 | 3-3 | 3-9 | 5-6,33 33 2 33 2 33 62 2 87 2 79 79 36 2 51
31 32 14 93 2 71 92 32 66 11,7-9 | 5-8 | 5-7 | 5-9 | 3-7 | 2-2 | 4-4 | 4-8 | 9-9 | 9-9 | 1-9 | 2-3 | 3-9 | 7-7 | 6-8,11 32 32 11 2 14 2 2 11 11 2 14 2 32 32
99 18 11 3 23 9 65 99 62 87,9-9 | 3-7 | 8-8 | 4-5 | 8-8 | 3-9 | 6-9 | 1-4 | 5-9 | 9-9 | 2-5 | 1-4 | 0-1 | 3-8 | 8-9,87 3 62 9 62 3 62 3 9 87 3 3 18 3 62
22 100 94 16 39 33 10 44 56 8,9-9 | 5-5 | 8-8 | 0-2 | 8-9 | 3-7 | 1-5 | 2-3 | 1-7 | 4-7 | 3-5 | 8-8 | 4-9 | 3-6 | 2-2,8 33 56 22 8 10 16 16 10 10 16 56 8 10 94
31 2 53 7 14 78 20 58 26 44,9-9 | 0-0 | 5-8 | 2-7 | 6-6 | 9-9 | 0-4 | 7-7 | 3-4 | 3-4 | 4-4 | 4-5 | 2-4 | 7-8 | 9-9,44 31 20 7 20 44 2 58 7 7 14 14 7 26 44
52 87 96 60 56 74 92 99 52 84,0-8 | 7-9 | 9-9 | 5-6 | 6-6 | 5-6 | 0-6 | 8-9 | 6-9 | 9-9 | 4-4 | 9-9 | 6-9 | 6-8 | 7-7,52 52 84 74 92 74 52 52 52 84 56 84 52 52 99
94 43 61 5 5 54 86 73 99 23,8-9 | 4-4 | 0-5 | 7-7 | 3-9 | 9-9 | 9-9 | 6-6 | 3-9 | 4-7 | 4-8 | 9-9 | 7-8 | 1-9 | 0-8,23 5 5 73 5 23 23 86 5 5 5 23 73 5 5
68 67 73 78 44 90 6 43 55 56,1-3 | 4-6 | 0-7 | 3-3 | 2-2 | 2-5 | 6-9 | 0-9 | 9-9 | 4-4 | 2-7 | 4-7 | 5-9 | 3-5 | 1-5,67 6 6 78 73 44 6 6 56 44 6 6 6 44 44
90 32 70 44 54 52 24 46 23 12,5-7 | 0-2 | 6-6 | 9-9 | 7-7 | 7-7 | 8-9 | 8-8 | 4-8 | 6-8 | 3-8 | 2-8 | 9-9 | 7-9 | 4-9,24 32 24 12 46 46 12 23 23 23 23 23 12 12 12
79 98 22 40 18 74 53 79 49 80,5-5 | 9-9 | 3-3 | 8-8 | 5-9 | 0-4 | 6-8 | 4-6 | 7-9 | 6-9 | 6-9 | 7-9 | 6-8 | 3-7 | 3-3,74 80 40 49 49 18 49 18 49 49 49 49 49 18 40
48 90 94 69 93 46 72 26 97 80,6-7 | 0-6 | 6-7 | 9-9 | 0-4 | 9-9 | 7-7 | 9-9 | 1-4 | 2-3 | 0-4 | 3-3 | 7-8 | 5-5 | 3-4,26 46 26 80 48 80 26 80 69 69 48 69 26 46 69
96 19 32 13 49 27 77 49 13 90,0-9 | 4-8 | 6-7 | 5-7 | 6-8 | 9-9 | 5-6 | 6-8 | 0-0 | 9-9 | 9-9 | 4-8 | 3-4 | 4-7 | 7-7,13 13 49 27 13 90 27 13 96 90 90 13 13 27 49
38 31 3 97 28 32 13 98 28 79,2-3 | 9-9 | 8-9 | 2-8 | 2-9 | 5-8 | 1-2 | 8-8 | 2-7 | 9-9 | 8-9 | 5-9 | 0-9 | 6-9 | 1-1,3 79 28 3 3 13 3 28 3 79 28 13 3 13 31
75 42 22 77 34 55 7 92 44 19,9-9 | 5-7 | 8-9 | 5-5 | 1-2 | 7-7 | 3-3 | 7-8 | 7-8 | 2-6 | 0-9 | 7-9 | 0-7 | 1-9 | 3-5,19 7 19 55 22 92 77 44 44 7 7 19 7 7 34
6 83 42 17 96 73 34 41 95 46,8-8 | 0-5 | 8-9 | 0-1 | 4-4 | 8-8 | 4-4 | 5-7 | 2-3 | 4-8 | 0-4 | 6-8 | 0-5 | 1-5 | 7-8,95 6 46 6 96 95 96 34 17 34 6 34 6 17 41
7 100 27 2 66 62 72 32 15 56,5-5 | 9-9 | 8-8 | 3-4 | 8-9 | 3-3 | 4-8 | 9-9 | 1-2 | 3-6 | 5-9 | 7-8 | 9-9 | 9-9 | 9-9,62 56 15 2 15 2 15 56 27 2 15 15 56 56 56
89 74 52 24 62 38 41 27 50 99,7-9 | 8-9 | 6-8 | 0-7 | 7-8 | 2-5 | 1-8 | 4-7 | 1-2 | 6-9 | 0-7 | 8-8 | 5-8 | 3-5 | 5-5,27 50 27 24 27 24 24 27 52 27 24 50 27 24 38
4 27 58 99 29 78 65 19 42 97,3-4 | 4-7 | 8-9 | 0-4 | 8-9 | 0-6 | 8-9 | 2-6 | 3-6 | 4-7 | 3-8 | 3-8 | 0-8 | 4-5 | 7-8,29 19 42 4 42 4 42 29 29 19 19 19 4 29 19
57 42 30 61 61 4 37 51 50 31,9-9 | 8-9 | 4-6 | 7-9 | 0-2 | 2-7 | 0-8 | 5-5 | 0-0 | 9-9 | 3-9 | 4-9 | 6-8 | 8-8 | 3-3,31 31 4 31 30 4 4 4 57 31 4 4 37 50 61
38 3 74 2 6 42 22 36 80 33,2-9 | 3-5 | 3-7 | 0-5 | 8-9 | 6-8 | 7-9 | 9-9 | 9-9 | 0-6 | 4-8 | 0-8 | 6-8 | 3-3 | 8-9,2 2 2 2 33 22 33 33 33 2 6 2 22 2 33
4 77 10 3 58 36 60 71 98 71,8-9 | 7-8 | 6-6 | 9-9 | 0-0 | 3-4 | 8-8 | 4-8 | 4-9 | 2-5 | 7-9 | 1-4 | 3-4 | 3-7 | 2-7,71 71 60 71 4 3 98 36 36 3 71 3 3 3 3
88 43 51 82 64 15 72 71 4 69,0-4 | 6-8 | 9-9 | 3-7 | 6-8 | 0-8 | 0-5 | 5-7 | 7-7 | 3-6 | 7-8 | 5-5 | 1-3 | 2-4 | 4-5,43 4 69 15 4 4 15 15 71 15 4 15 43 51 15
45 50 78 89 57 75 14 62 21 7,8-9 | 5-6 | 1-1 | 3-4 | 7-8 | 6-7 | 2-9 | 7-9 | 9-9 | 3-8 | 3-9 | 7-7 | 6-7 | 6-9 | 2-4,7 14 50 57 21 14 7 7 7 14 7 62 14 7 57
43 63 28 49 73 96 52 64 31 75,2-8 | 9-9 | 7-8 | 4-9 | 1-6 | 8-8 | 9-9 | 7-7 | 0-9 | 3-8 | 2-8 | 1-2 | 5-9 | 3-4 | 5-6,28 75 31 31 28 31 75 64 28 31 28 28 31 49 52
67 35 42 92 4 2 76 75 90 13,6-6 | 5-8 | 5-7 | 3-3 | 0-4 | 2-8 | 4-8 | 2-8 | 1-8 | 8-9 | 4-8 | 9-9 | 1-7 | 0-6 | 7-7,76 2 2 92 4 2 2 2 2 13 2 13 2 2 75
77 38 95 52 50 39 61 95 32 37,8-9 | 2-8 | 8-9 | 1-2 | 2-6 | 2-2 | 3-3 | 5-5 | 3-3 | 3-6 | 6-7 | 5-6 | 8-8 | 5-9 | 3-3,32 32 32 38 39 95 52 39 52 39 61 39 32 32 52
21 25 72 45 86 27 57 97 3 25,1-5 | 9-9 | 8-9 | 6-7 | 2-4 | 8-9 | 5-8 | 6-7 | 3-6 | 4-5 | 1-5 | 0-2 | 2-7 | 5-5 | 5-6,25 25 3 57 45 3 3 57 27 27 25 21 27 27 27
43 26 3 2 74 51 39 36 72 52,8-9 | 3-4 | 5-7 | 6-6 | 8-8 | 1-4 | 9-9 | 0-2 | 8-8 | 7-9 | 8-9 | 1-2 | 8-9 | 3-9 | 6-6,52 2 36 39 72 2 52 3 72 36 52 3 52 2 39
51 20 8 100 41 42 6 6 96 83,8-8 | 2-3 | 9-9 | 4-5 | 3-3 | 0-7 | 4-9 | 1-7 | 3-3 | 8-9 | 0-0 | 3-6 | 7-9 | 9-9 | 1-7,96 8 83 41 100 6 6 6 100 83 51 6 6 83 6
39 27 99 88 39 86 44 41 43 90,8-9 | 2-3 | 0-6 | 3-8 | 0-1 | 6-9 | 3-9 | 8-8 | 3-9 | 6-9 | 9-9 | 4-5 | 4-5 | 9-9 | 9-9,43 88 27 39 27 41 39 43 39 41 90 39 39 90 90
35 99 11 2 93 82 43 34 23 6,0-8 | 6-7 | 6-7 | 6-9 | 5-8 | 5-5 | 2-5 | 2-2 | 0-6 | 4-4 | 2-6 | 9-9 | 8-9 | 3-3 | 6-8,2 34 34 6 23 82 2 11 2 93 2 6 6 2 23
47 2 100 89 38 64 43 84 59 33,1-2 | 8-8 | 7-8 | 0-2 | 4-9 | 0-2 | 1-7 | 8-8 | 4-9 | 9-9 | 2-5 | 2-5 | 3-5 | 4-9 | 8-8,2 59 59 2 33 2 2 59 33 33 38 38 38 33 59
4 51 55 16 49 86 93 53 81 76,5-7 | 7-7 | 4-7 | 5-8 | 7-9 | 6-7 | 5-7 | 5-9 | 5-6 | 2-4 | 1-3 | 6-7 | 9-9 | 6-7 | 8-9,53 53 49 53 53 53 53 53 86 16 16 53 76 53 76
26 21 17 63 34 80 7 13 76 84,5-7 | 2-3 | 7-7 | 2-2 | 5-8 | 2-7 | 2-5 | 2-4 | 7-8 | 6-7 | 3-9 | 8-8 | 3-3 | 5-6 | 2-4,7 17 13 17 7 7 17 17 13 7 7 76 63 7 17
55 61 44 99 53 49 88 27 85 91,0-3 | 4-9 | 8-8 | 4-7 | 0-0 | 4-9 | 4-9 | 4-7 | 5-9 | 1-8 | 8-8 | 5-5 | 5-8 | 5-7 | 3-3,44 27 85 27 55 27 27 27 27 27 85 49 27 27 99
48 96 4 59 7 97 30 56 72 51,6-9 | 4-6 | 5-7 | 8-9 | 5-7 | 6-6 | 6-6 | 8-8 | 7-7 | 3-9 | 4-9 | 4-5 | 5-7 | 2-6 | 8-9,30 7 30 51 30 30 30 72 56 7 7 7 30 4 51
61 64 97 2 81 54 73 7 8 84,3-9 | 3-8 | 1-9 | 0-0 | 5-7 | 8-9 | 6-9 | 3-4 | 1-9 | 3-4 | 2-8 | 2-4 | 0-8 | 5-7 | 4-6,2 2 2 61 7 8 7 2 2 2 2 2 2 7 54
31 39 93 86 100 18 89 40 5 77,4-9 | 0-0 | 8-9 | 7-9 | 8-9 | 6-6 | 4-9 | 5-6 | 2-8 | 3-6 | 7-8 | 1-2 | 0-1 | 9-9 | 6-9,5 31 5 5 5 89 5 18 5 18 5 39 31 77 5
52 51 2 89 10 32 45 12 29 78,2-9 | 4-6 | 8-9 | 4-4 | 5-8 | 5-7 | 7-9 | 8-8 | 4-4 | 8-8 | 4-7 | 4-4 | 1-4 | 6-6 | 5-7,2 10 29 10 12 12 12 29 10 29 10 10 2 45 12
76 89 58 61 44 32 64 41 85 88,8-9 | 4-9 | 5-8 | 3-4 | 2-8 | 0-2 | 9-9 | 0-9 | 5-7 | 5-8 | 0-0 | 1-7 | 7-8 | 9-9 | 4-9,85 32 32 44 32 58 88 32 32 32 76 32 41 88 32
38 48 21 97 93 81 84 95 52 13,3-7 | 2-3 | 4-5 | 3-4 | 5-5 | 3-8 | 3-5 | 1-1 | 1-8 | 1-7 | 4-7 | 6-6 | 9-9 | 6-8 | 1-4,81 21 81 93 81 52 81 48 21 21 81 84 13 52 21
5 45 81 73 98 52 33 48 17 12,1-5 | 5-8 | 6-7 | 7-8 | 5-8 | 1-7 | 7-8 | 3-9 | 3-7 | 4-7 | 3-9 | 8-9 | 4-8 | 3-8 | 4-7,45 17 33 17 17 33 17 12 33 33 12 12 17 17 33
2 75 42 16 53 10 16 87 99 32,3-6 | 7-8 | 2-9 | 9-9 | 1-3 | 6-7 | 2-2 | 4-5 | 9-9 | 9-9 | 4-4 | 5-9 | 7-9 | 5-6 | 0-9,10 87 10 32 16 16 42 10 32 32 53 10 32 10 2
3 28 83 29 17 53 93 20 35 16,7-8 | 9-9 | 7-8 | 6-9 | 7-7 | 1-6 | 2-5 | 2-3 | 5-7 | 1-4 | 3-8 | 6-7 | 6-8 | 2-6 | 0-4,20 16 20 16 20 17 17 29 20 17 17 20 20 17 3
32 61 15 18 47 18 45 47 25 45,6-8 | 6-8 | 9-9 | 3-6 | 8-9 | 1-7 | 3-8 | 8-8 | 7-7 | 9-9 | 5-8 | 6-6 | 3-6 | 1-9 | 7-7,25 25 45 18 25 15 18 25 47 45 18 45 18 15 47
41 54 56 94 19 45 35 66 94 46,2-5 | 8-9 | 9-9 | 3-5 | 9-9 | 6-7 | 3-9 | 7-7 | 8-9 | 0-7 | 4-7 | 8-8 | 8-9 | 3-8 | 9-9,19 46 46 19 46 35 19 66 46 19 19 94 46 19 46
45 20 51 36 34 18 20 34 77 41,5-5 | 6-7 | 5-8 | 2-9 | 5-6 | 7-7 | 2-3 | 7-9 | 4-8 | 9-9 | 9-9 | 9-9 | 0-8 | 5-5 | 7-8,18 20 18 18 18 34 36 34 18 41 41 41 18 18 34
86 14 1 77 58 28 79 83 22 44,0-5 | 0-0 | 9-9 | 1-8 | 2-7 | 7-9 | 1-5 | 0-1 | 4-8 | 3-8 | 9-9 | 1-1 | 1-5 | 8-9 | 7-8,1 86 44 1 1 22 1 14 22 22 44 14 1 22 22
88 64 38 70 73 74 36 91 49 2,4-5 | 5-9 | 4-7 | 0-2 | 5-7 | 1-4 | 2-7 | 1-9 | 9-9 | 3-5 | 2-3 | 4-7 | 2-7 | 6-6 | 7-8,73 2 36 38 36 38 36 2 2 70 38 36 36 36 49
17 93 42 64 31 39 23 57 39 75,6-8 | 5-7 | 2-7 | 7-7 | 9-9 | 3-8 | 1-2 | 0-3 | 8-8 | 6-6 | 9-9 | 0-7 | 6-6 | 8-8 | 8-8,23 23 23 57 75 23 42 17 39 23 75 17 23 39 39
31 84 12 75 41 35 29 16 2 17,1-8 | 4-6 | 8-9 | 1-4 | 1-9 | 8-8 | 4-6 | 1-9 | 0-6 | 0-4 | 4-6 | 8-9 | 5-7 | 6-9 | 8-9,2 29 2 12 2 2 29 2 12 12 29 2 16 2 2
57 4 74 8 4 81 56 47 7 27,9-9 | 6-8 | 9-9 | 7-9 | 1-4 | 5-5 | 0-1 | 7-8 | 2-5 | 0-2 | 8-9 | 5-5 | 9-9 | 3-4 | 2-4,27 7 27 7 4 81 4 7 4 4 7 81 27 4 4
92 48 27 33 49 24 72 45 91 9,0-0 | 6-7 | 5-7 | 8-8 | 8-8 | 8-8 | 2-5 | 2-2 | 0-4 | 9-9 | 1-7 | 6-8 | 2-6 | 7-9 | 8-9,92 45 24 91 91 91 24 27 27 9 24 45 24 9 9
33 91 71 31 85 75 34 77 39 71,9-9 | 5-6 | 0-1 | 6-9 | 8-9 | 7-7 | 8-8 | 1-9 | 0-2 | 4-5 | 9-9 | 4-7 | 1-7 | 4-9 | 3-6,71 34 33 34 39 77 39 31 33 75 71 34 31 34 31
20 28 89 14 1 18 77 84 16 29,7-7 | 3-5 | 3-9 | 3-8 | 3-6 | 6-6 | 8-8 | 4-4 | 7-9 | 8-8 | 8-8 | 9-9 | 7-8 | 6-9 | 6-8,84 1 1 1 1 77 16 1 16 16 16 29 16 16 16
92 25 18 2 35 1 66 43 6 46,0-0 | 0-1 | 8-9 | 8-9 | 8-9 | 5-6 | 5-8 | 0-6 | 0-4 | 9-9 | 3-3 | 2-4 | 3-6 | 0-7 | 4-7,92 25 6 6 6 1 1 1 2 46 2 2 1 1 1
